db_name,original_question,evidence,sql,question_index,dataset_name,question_evidence,question,difficulty,complexity
movie_3,Provide the list of the longest movies. Arrange these titles in alphabetical order.,the longest refers to max(length),SELECT title FROM film WHERE length = ( SELECT MAX(length) FROM film ),9384,BIRD-SQL,Provide the list of the longest movies. Arrange these titles in alphabetical order. Evidence: the longest refers to max(length),Provide the list of the longest movies. Arrange these titles in alphabetical order.. Evidence: the longest refers to max(length),hard,subqueries
car_retails,How many distinct orders were there in 2003 when the quantity ordered was less than 30?,year(orderDate) = '2003'; quantityOrdered < 30;,"SELECT COUNT(DISTINCT T1.orderNumber) FROM orderdetails AS T1 INNER JOIN orders AS T2 ON T1.orderNumber = T2.orderNumber WHERE T1.quantityOrdered < 30 AND STRFTIME('%Y', T2.orderDate) = '2003'",1558,BIRD-SQL,How many distinct orders were there in 2003 when the quantity ordered was less than 30? Evidence: year(orderDate) = '2003'; quantityOrdered < 30;,How many distinct orders were there in 2003 when the quantity ordered was less than 30?. Evidence: year(orderDate) = '2003'; quantityOrdered < 30;,medium,single join
cars,What is the name of the most expensive car?,name of the car refers to car_name; the most expensive refers to max(price),SELECT T1.car_name FROM data AS T1 INNER JOIN price AS T2 ON T1.ID = T2.ID ORDER BY T2.price DESC LIMIT 1,3091,BIRD-SQL,What is the name of the most expensive car? Evidence: name of the car refers to car_name; the most expensive refers to max(price),What is the name of the most expensive car?. Evidence: name of the car refers to car_name; the most expensive refers to max(price),hard,single join
movie_3,Which film titles have the most expensive rental rate?,the most expensive rental rate refers to max(rental_rate),SELECT title FROM film WHERE rental_rate = ( SELECT MAX(rental_rate) FROM film ),9341,BIRD-SQL,Which film titles have the most expensive rental rate? Evidence: the most expensive rental rate refers to max(rental_rate),Which film titles have the most expensive rental rate?. Evidence: the most expensive rental rate refers to max(rental_rate),hard,subqueries
talkingdata,Please list the app IDs of all the users in the Securities category.,,SELECT T2.app_id FROM label_categories AS T1 INNER JOIN app_labels AS T2 ON T1.label_id = T2.label_id WHERE T1.category = 'Securities',1142,BIRD-SQL,Please list the app IDs of all the users in the Securities category. Evidence: ,Please list the app IDs of all the users in the Securities category.,medium,single join
trains,How many trains are running west?,west is a direction,SELECT COUNT(id) FROM trains WHERE direction = 'west',711,BIRD-SQL,How many trains are running west? Evidence: west is a direction,How many trains are running west?. Evidence: west is a direction,easy,basic SQL
professional_basketball,Which teams have winning rate less than 50%?,"team with winning rate less than 50% refers to Divide (won, Sum(won, lost)) < 0.5",SELECT name FROM teams WHERE CAST(won AS REAL) * 100 / (won + lost) < 50,2835,BIRD-SQL,"Which teams have winning rate less than 50%? Evidence: team with winning rate less than 50% refers to Divide (won, Sum(won, lost)) < 0.5","Which teams have winning rate less than 50%?. Evidence: team with winning rate less than 50% refers to Divide (won, Sum(won, lost)) < 0.5",easy,basic SQL
menu,"Among the menus that include baked apples with cream, who is the sponsor of the menu with the highest price?",baked apples with cream is a name of dish; highest price refers to MAX(price);,SELECT T4.sponsor FROM MenuPage AS T1 INNER JOIN MenuItem AS T2 ON T1.id = T2.menu_page_id INNER JOIN Dish AS T3 ON T2.dish_id = T3.id INNER JOIN Menu AS T4 ON T4.id = T1.menu_id WHERE T3.name = 'Baked apples with cream' AND T3.id = 107 ORDER BY T2.price DESC LIMIT 1,5556,BIRD-SQL,"Among the menus that include baked apples with cream, who is the sponsor of the menu with the highest price? Evidence: baked apples with cream is a name of dish; highest price refers to MAX(price);","Among the menus that include baked apples with cream, who is the sponsor of the menu with the highest price?. Evidence: baked apples with cream is a name of dish; highest price refers to MAX(price);",extra,multiple_joins
university,"In 2014, what is the name of the university which was considered a leader in the publications rank?",In 2014 refers to year = 2014; leader refers to MAX(score); in the publications rank refers to criteria_name = 'Publications Rank'; name of university refers to university_name;,SELECT T3.university_name FROM ranking_criteria AS T1 INNER JOIN university_ranking_year AS T2 ON T1.id = T2.ranking_criteria_id INNER JOIN university AS T3 ON T3.id = T2.university_id WHERE T1.criteria_name = 'Publications Rank' AND T2.year = 2014 AND T1.id = 17 ORDER BY T2.score DESC LIMIT 1,7995,BIRD-SQL,"In 2014, what is the name of the university which was considered a leader in the publications rank? Evidence: In 2014 refers to year = 2014; leader refers to MAX(score); in the publications rank refers to criteria_name = 'Publications Rank'; name of university refers to university_name;","In 2014, what is the name of the university which was considered a leader in the publications rank?. Evidence: In 2014 refers to year = 2014; leader refers to MAX(score); in the publications rank refers to criteria_name = 'Publications Rank'; name of university refers to university_name;",extra,multiple_joins
superstore,"Among the orders in Central superstore, which art product were ordered the most?",art product refers to Sub-Category = 'Art'; the most refers to max(order_number),SELECT T2.`Product Name` FROM central_superstore AS T1 INNER JOIN product AS T2 ON T1.`Product ID` = T2.`Product ID` WHERE T2.`Sub-Category` = 'Art' GROUP BY T2.`Product Name` ORDER BY COUNT(T2.`Product ID`) DESC LIMIT 1,2417,BIRD-SQL,"Among the orders in Central superstore, which art product were ordered the most? Evidence: art product refers to Sub-Category = 'Art'; the most refers to max(order_number)","Among the orders in Central superstore, which art product were ordered the most?. Evidence: art product refers to Sub-Category = 'Art'; the most refers to max(order_number)",extra,single join
